iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","Sendinblue","Get a shared template url","GET","https://api.sendinblue.com/v3/emailCampaigns/13396752/sharedUrl","Unauthorized","401","81","50",,,,"0","0","0","0"
"1","Sendinblue","Export the recipients of an email campaign","POST","https://api.sendinblue.com/v3/emailCampaigns/13396752/exportRecipients","Unauthorized","401","79","50",,,,"0","0","0","0"
"1","Sendinblue","Return all your created email campaigns","GET","https://api.sendinblue.com/v3/emailCampaigns?type=classic&status=archive&startDate=veniam elit in&endDate=veniam elit in&limit=50&offset=0&sort=desc","Unauthorized","401","81","50",,,,"0","0","0","0"
"1","Sendinblue","Create an email campaign","POST","https://api.sendinblue.com/v3/emailCampaigns","Unauthorized","401","132","50",,,,"0","0","0","0"
"1","Sendinblue","Upload an image to your account's image gallery","POST","https://api.sendinblue.com/v3/emailCampaigns/images","Unauthorized","401","76","50",,,,"0","0","0","0"
"1","Sendinblue","Returns the information for all your created SMS campaigns","GET","https://api.sendinblue.com/v3/smsCampaigns/","Unauthorized","401","79","50","Response is valid JSON, Campaign list is returned, Response time is acceptable, Content-Type is JSON",,,"4","4","0","0"
"1","Sendinblue","Creates an SMS campaign","POST","https://api.sendinblue.com/v3/smsCampaigns","Unauthorized","401","79","50","Campaign creation returns data, Response Content-Type is JSON, Response time is acceptable","Created campaign has an ID",,"4","3","1","0"
"1","Sendinblue","Get an SMS campaign","GET","https://api.sendinblue.com/v3/smsCampaigns/","Unauthorized","401","104","50","Campaign data is returned, Response time is acceptable","Campaign contains an ID, Returned campaign ID matches requested campaign, Campaign contains a name, Campaign contains a status",,"6","2","4","0"
"1","Sendinblue","Update an SMS campaign","PUT","https://api.sendinblue.com/v3/smsCampaigns/","Unauthorized","401","82","50","Response time is acceptable, Campaign ID was provided in request","Response body is empty, Campaign ID is valid",,"4","2","2","0"
"1","Sendinblue","Delete an SMS campaign","DELETE","https://api.sendinblue.com/v3/smsCampaigns/","Unauthorized","401","80","50","Campaign ID exists before cleanup, Response time is acceptable, Response does not contain server error",,,"3","3","0","0"
"1","Sendinblue","Send your SMS campaign immediately","POST","https://api.sendinblue.com/v3/smsCampaigns/1/sendNow","Unauthorized","401","91","50","Send operation returns confirmation, Send response contains status or message, Campaign was not returned as draft, Response time is acceptable",,,"4","4","0","0"
"1","Sendinblue","Update a campaign's status","PUT","https://api.sendinblue.com/v3/smsCampaigns//status","Unauthorized","401","83","50","Request contains a status, Valid campaign status was supplied, Error response contains error details, Response time is acceptable","Campaign ID exists",,"5","4","1","0"
"1","Sendinblue","Send a test SMS campaign","POST","https://api.sendinblue.com/v3/smsCampaigns/5/sendTest","Unauthorized","401","97","50","Test SMS operation returns confirmation, Response contains message or status, No server-side error occurred, Response time is acceptable",,,"4","4","0","0"
"1","Sendinblue","Export an SMS campaign's recipients","POST","https://api.sendinblue.com/v3/smsCampaigns/3/exportRecipients","Unauthorized","401","81","50","Export response contains data, Export has a Content-Type header, Export response is not HTML error page, Export response time is acceptable",,,"4","4","0","0"
"1","Sendinblue","Send an SMS campaign's report","POST","https://api.sendinblue.com/v3/smsCampaigns/3/sendReport","Unauthorized","401","84","50","Report operation returns confirmation, Response does not contain server error, Response time is acceptable",,,"3","3","0","0"
"1","Sendinblue","Send a message as an agent","POST","https://api.sendinblue.com/v3/conversations/messages","Unauthorized","401","85","50","Message response is returned, Message content is returned, Message contains sender information, Response time is acceptable",,,"4","4","0","0"
"1","Sendinblue","Get a message","GET","https://api.sendinblue.com/v3/conversations/messages/","Unauthorized","401","80","50","Message data is returned, Message contains content, Message contains sender information, Response time is acceptable",,,"4","4","0","0"
"1","Sendinblue","Update a message sent by an agent","PUT","https://api.sendinblue.com/v3/conversations/messages/","Unauthorized","401","81","50","Update request contains a body, Response body is empty on successful update, Response time is acceptable","Message ID exists",,"4","3","1","0"
"1","Sendinblue","Delete a message sent by an agent","DELETE","https://api.sendinblue.com/v3/conversations/messages/","Unauthorized","401","77","50","Successful delete returns empty body, No server error occurred, Response time is acceptable","Message ID exists before delete",,"4","3","1","0"
"1","Sendinblue","Sets agent’s status to online for 2-3 minutes","POST","https://api.sendinblue.com/v3/conversations/agentOnlinePing","Unauthorized","401","86","50","Agent ID is provided, Agent ID has valid format, No server-side error occurred, Response is valid, Response contains status confirmation, Error response contains details, Response time is acceptable, Response time is acceptable",,,"8","8","0","0"
"1","Sendinblue","Send an automated message to a visitor","POST","https://api.sendinblue.com/v3/conversations/pushedMessages","Unauthorized","401","78","50","Automated message response is returned, Message contains content, Response is JSON, Response time is acceptable",,,"4","4","0","0"
"1","Sendinblue","Get an automated message","GET","https://api.sendinblue.com/v3/conversations/pushedMessages/","Unauthorized","401","85","50","Automated message is returned, Message contains content, Response is valid JSON, Response time is acceptable",,,"4","4","0","0"
